From	To
Q8WWB7	GLMP
Q9H227	GBA3
O43716	GATC
P07359	GP1BA
Q14956	GPNMB
Q5UAW9	GPR157
Q9BQQ3	GORASP1
Q14410	GK2
P0C5Y9	H2AB1
P16104	H2AX
Q7RTV2	GSTA5
A0A096LPI5	CCDC28A-AS1
Q58FF6	HSP90AB4P
Q14520	HABP2
P08397	HMBS
P49773	HINT1
P38484	IFNGR2
P08779	KRT16
P49441	INPP1
P26006	ITGA3
Q8IYV9	IZUMO1
P12268	IMPDH2
Q86VZ6	JAZF1
Q6B0I6	KDM4D
Q8TBQ9	TMEM167A
P33176	KIF5B
Q14952	KIR2DS3
Q719H9	KCTD1
Q3LI63	KRTAP20-1
Q9NPI9	KCNJ16
Q15842	KCNJ8
Q96PQ7	KLHL5
Q8WZ60	KLHL6
P05771	PRKCB
A0A0C4DH73	IGKV1-12
Q9BVA0	KATNB1
O75387	SLC43A1
Q5TCM9	LCE5A
Q86VZ4	LRP11
Q8N386	LRRC25
Q8N7C0	LRRC52
Q9UFC0	LRWD1
Q9BRT6	LLPH
Q6P5Q4	LMOD2
Q6MZP7	LIN54
D6RGH6	MCIDAS
Q9NTJ4	MAN2C1
Q9UBF1	MAGEC2
Q9H213	MAGEH1
P59942	MCCD1
Q6ZN04	MEX3B
P01700	IGLV1-47
Q8NA72	POC5
Q8WZ82	OVCA2
Q01453	PMP22
Q9ULU4	ZMYND8
Q9P215	POGK
Q04941	PLP2
P62714	PPP2CB
Q8WXW3	PIBF1
Q5SXH7	PLEKHS1
Q7Z736	PLEKHH3
Q0VAA5	PLCXD2
Q6ZWE6	PLEKHM3
Q53GL0	PLEKHO1
Q9H3Y8	PPDPF
Q5THK1	PRR14L
Q8TBF5	PIGX
P02810	PRH1
P02810	PRH2
Q92901	RPL3L
Q9Y3U8	RPL36
Q96DB5	RMDN1
Q8WVD5	RNF141
Q8TEB7	RNF128
Q5XPI4	RNF123
Q6ZMZ0	RNF19B
Q9BY78	RNF26
Q6ZSG1	RNF165
Q96EX2	RNFT2
Q8NCN4	RNF169
Q2M238	RRN3P1
Q9NWU5	MRPL22
Q3B726	POLR1F
P52198	RND2
Q13905	RAPGEF1
Q9UNE2	RPH3AL
Q8N5N7	MRPL50
Q6ZUB1	SPATA31E1
Q9NTN3	SLC35D1
P23297	S100A1
Q9BZR6	RTN4R
Q8N8U3	RTL3
Q9BZW2	SLC13A1
Q9NSD5	SLC6A13
Q8N488	RYBP
Q9BVN2	RUSC1
Q6P087	RPUSD3
Q6ZMH5	SLC39A5
Q9C0K1	SLC39A8
Q9HAB3	SLC52A2
Q9UQR0	SCML2
P58004	SESN2
P58005	SESN3
Q13228	SELENBP1
O15126	SCAMP1
Q9Y6X0	SETBP1
O95754	SEMA4F
Q12884	FAP
Q14524	SCN5A
O75920	SERF1A
O75920	SERF1B
Q9BYC2	OXCT2
Q99932	SPAG8
Q6RVD6	SPATA8
Q7Z614	SNX20
O43173	ST8SIA3
Q92835	INPP5D
P0CG40	SP9
Q969G3	SMARCE1
P0C7M3	SFTA3
O15357	INPPL1
Q13291	SLAMF1
Q96EQ0	SGTB
O14492	SH2B2
A0A1B0GW64	SMIM33
Q9Y2Z0	SUGT1
O15198	SMAD9
Q8IZP2	ST13P4
P43307	SSR1
O15061	SYNM
Q71U36	TUBA1A
Q9H4B7	TUBB1
Q93075	TATDN2
Q9P1P4	TAAR3P
Q8IV01	SYT12
Q8NBV8	SYT8
Q9BVX2	TMEM106C
P09758	TACSTD2
Q9Y5J6	TIMM10B
Q8IW70	TMEM151B
Q9UI15	TAGLN3
P59541	TAS2R30
Q06190	PPP2R3A
Q8IXQ8	PDZD9
Q5H8A4	PIGG
